,twitterid,Date,User,Tweet,source,likes,replycount,retweets
0,1598060806553436160,2022-11-30 21:06:01+00:00,USArmy,"#NATO’s enhanced Forward Presence, eFP, Battle Group Poland was established in 2017 as a multinational combined force from the #UnitedStates, #Poland, #UK, #Romania and #Croatia. 

Read more ➡ https://t.co/CS2KYcrFrh https://t.co/0YRorITX8y","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",228,6,72
1,1598029878175346688,2022-11-30 19:03:07+00:00,SydesJokes,"One of the reasons I left the #UK in 1994 was because of the unfair #FPTP electoral system. My entire time in the UK as a voter was under the Tories. I started to vote in 1980 under Thatcher and I left the the UK under Major. 

1/ https://t.co/MfphyVm5t8","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",188,9,57
2,1598026269505224704,2022-11-30 18:48:47+00:00,StormchaserUKEU,"WOW! An incredible ECMWF model this evening, long fetched NE flow into the NW of #Europe and the #UK bringing cold air from the arctic by next week, it’s been quite sometime I’ve seen such a chart in December, TBH! #Winteriscoming StayTuned https://t.co/PGcHRnFvwb","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",254,10,59
3,1597968695971676161,2022-11-30 15:00:00+00:00,AlArabiya_Eng,"The #UK’s most senior police officer of color has said the duchess of Sussex #MeghanMarkle faced “disgusting” threats to her life during her time in the royal family.

https://t.co/uYYFRbMy09","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",298,5,104
4,1597923844458950658,2022-11-30 12:01:47+00:00,Bob_cart124,"It's called reverse colonialism bi*ch. Get used to it.

It was Britain who came to non-white countries and ""changed the demographic"" first.

As for UK's Christian decline - don't worry, Islam is ready and able. 

#Census #UK #ENGWAL #Farage https://t.co/n6gy4XOoch","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",395,33,67
5,1597902333471780864,2022-11-30 10:36:18+00:00,AdoptionsUk,"URGENT, Foster home, forever home or rescue space needed for a 2 year old #Husky X due to be put to sleep in a council pound shortly #NORFOLK #UK 
He can  be re homed nationally, untested with pets and children. 
CONTACT 
https://t.co/DtQ5kqZvpc
OR 
https://t.co/9d72HW8zJz
#dogs https://t.co/pAMjy9pJtW","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",401,12,715
6,1597875500667764736,2022-11-30 08:49:41+00:00,gchahal,"JUST IN: #BNNUK Reports. 

A senior Metropolitan Police officer has revealed that the Duchess of Sussex was subject to multiple “disgusting” threats against her life. #MeghanMarkle #UK #Crime https://t.co/g1Z48MziWA","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",421,9,149
7,1597855237867728897,2022-11-30 07:29:10+00:00,LadyVelvet_HFQ,"Statistics published by the Health &amp; Safety Executive in the #UK showed that 30 construction workers died during the period between April 2021 &amp; March 2022. This was almost 20% lower than the 5 year average of 36 workers.
36 x 12 years = 432 dead workers
#Qatar has had 400 https://t.co/z7hsQUPR1Z","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",287,17,58
8,1597706682297380864,2022-11-29 21:38:51+00:00,AdoptionsUk,"Please retweet to help FIND FLOSSIE, MISSING/STOLEN FROM #BLYTH #UK 
She could be anywhere in the country now. 
Have you been offered a dog like this? 
Her dad is 91 and he's devastated. 
Please share, let's get her home? 🍀
Flossie Come Home
@FindFlossie https://t.co/ATldf4G72y","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",159,5,438
9,1597686082837282816,2022-11-29 20:17:00+00:00,georgegalloway,Without a hint of embarrassment the #UK #Canadian and #USA media goes Tonto in support of anti-lockdown protests in #China having at best ignored at worst smeared and slandered similar protests in their own country as #Trumpian even #Fascist @MoatsTV #COVID19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",238,12,58
10,1597670033710231552,2022-11-29 19:13:13+00:00,AdoptionsUk,"Please retweet to help Juno find a home #CHESHIRE #UK 

Found as a stray aged about 10, looking for a loving home with any children aged 12+, she may be able to live with another dog🐶✅. 
She enjoys a cuddle❤️

DETAILS or APPLY👇
https://t.co/som5G8JjrY……
#dogs #pets #animals https://t.co/PonTUXDNt8","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",218,6,341
